RM,LSTAT,PTRATIO,MEDV
6.575,4.98,15.3,504000.0
6.421,9.14,17.8,453600.0
7.185,4.03,17.8,728700.0
6.998,2.94,18.7,701400.0
7.147,5.33,18.7,760200.0
6.43,5.21,18.7,602700.0
6.012,12.43,15.2,480900.0
6.172,19.15,15.2,569100.0
5.631,29.93,15.2,346500.0
6.004,17.1,15.2,396900.0
6.377,20.45,15.2,315000.0
6.009,13.27,15.2,396900.0
5.889,15.71,15.2,455700.0
5.949,8.26,21.0,428400.0
6.096,10.26,21.0,382200.0
5.834,8.47,21.0,417900.0
5.935,6.58,21.0,485100.0
5.99,14.67,21.0,367500.0
5.456,11.69,21.0,424200.0
5.727,11.28,21.0,382200.0
5.57,21.02,21.0,285600.0
5.965,13.83,21.0,411600.0
6.142,18.72,21.0,319200.0
5.813,19.88,21.0,304500.0
5.924,16.3,21.0,327600.0
5.599,16.51,21.0,291900.0
5.813,14.81,21.0,348600.0
6.047,17.28,21.0,310800.0
6.495,12.8,21.0,386400.0
6.674,11.98,21.0,441000.0
5.713,22.6,21.0,266700.0
6.072,13.04,21.0,304500.0
5.95,27.71,21.0,277200.0
5.701,18.35,21.0,275100.0
6.096,20.34,21.0,283500.0
5.933,9.68,19.2,396900.0
5.841,11.41,19.2,420000.0
5.85,8.77,19.2,441000.0
5.966,10.13,19.2,518700.0
6.595,4.32,18.3,646800.0
7.024,1.98,18.3,732900.0
6.77,4.84,17.9,558600.0
6.169,5.81,17.9,531300.0
6.211,7.44,17.9,518700.0
6.069,9.55,17.9,445200.0
5.682,10.21,17.9,405300.0
5.786,14.15,17.9,420000.0
6.03,18.8,17.9,348600.0
5.399,30.81,17.9,302400.0
5.602,16.2,17.9,407400.0
5.963,13.45,16.8,413700.0
6.115,9.43,16.8,430500.0
6.511,5.28,16.8,525000.0
5.998,8.43,16.8,491400.0
5.888,14.8,21.1,396900.0
7.249,4.81,17.9,743400.0
6.383,5.77,17.3,518700.0
6.816,3.95,15.1,663600.0
6.145,6.86,19.7,489300.0
5.927,9.22,19.7,411600.0
5.741,13.15,19.7,392700.0
5.966,14.44,19.7,336000.0
6.456,6.73,19.7,466200.0
6.762,9.5,19.7,525000.0
7.104,8.05,18.6,693000.0
6.29,4.67,16.1,493500.0
5.787,10.24,16.1,407400.0
5.878,8.1,18.9,462000.0
5.594,13.09,18.9,365400.0
5.885,8.79,18.9,438900.0
6.417,6.72,19.2,508200.0
5.961,9.88,19.2,455700.0
6.065,5.52,19.2,478800.0
6.245,7.54,19.2,491400.0
6.273,6.78,18.7,506100.0
6.286,8.94,18.7,449400.0
6.279,11.97,18.7,420000.0
6.14,10.27,18.7,436800.0
6.232,12.34,18.7,445200.0
5.874,9.1,18.7,426300.0
6.727,5.29,19.0,588000.0
6.619,7.22,19.0,501900.0
6.302,6.72,19.0,520800.0
6.167,7.51,19.0,480900.0
6.389,9.62,18.5,501900.0
6.63,6.53,18.5,558600.0
6.015,12.86,18.5,472500.0
6.121,8.44,18.5,466200.0
7.007,5.5,17.8,495600.0
7.079,5.7,17.8,602700.0
6.417,8.81,17.8,474600.0
6.405,8.2,17.8,462000.0
6.442,8.16,18.2,480900.0
6.211,6.21,18.2,525000.0
6.249,10.59,18.2,432600.0
6.625,6.65,18.0,596400.0
6.163,11.34,18.0,449400.0
8.069,4.21,18.0,812700.0
7.82,3.57,18.0,919800.0
7.416,6.19,18.0,697200.0
